State Name,Income,Avg Literacy Score,Attained BS or higher,population,affectweather,attragripests,attrairpollution,attrdroughts,attrflood,attrheat,attrhurricanes,attrpoweroutages,attrsealevels,attrsnowpack,attrtornados,attrwaterpollution,attrwatershortages,attrwildfires,citizens,congress,consensus,corporations,devharm,discuss,drillanwr,drilloffshore,exp,fundrenewables,futuregen,generaterenewable,governor,gwvoteimp,happening,harmplants,harmus,human,localofficials,mediaweekly,personal,president,priority,prioritycleanenergy,rebates,reducetax,regulate,teachgw,timing,transitioneconomy,worried
Florida,68248,218,34.9,17623516,64.728,48.942,55.698,58.815,59.04,65.324,58.429,43.875,56.655,45.793,52.917,48.582,52.601,59.221,60.107,61.379,57.071,67.821,67.071,34.705,33.645,48.303,49.41,76.396,70.393,77.301,57.668,57.276,72.475,69.706,62.183,57.603,57.806,28.517,45.559,57.067,53.676,64.687,74.905,65.568,74.824,78.166,58.048,69.858,62.101
Georgia,58581,214,35.4,8280518,62.687,47.83,55.172,53.963,55.124,60.854,54.871,42.961,56.659,48.153,51.284,46.33,50.898,58.861,60.196,59.586,52.439,66.48,62.075,31.721,38.521,55.733,47.669,75.179,65.6,76.261,55.732,55.539,68.191,64.702,59.223,56.048,56.251,24.455,44.538,55.445,50.909,60.578,73.389,67.117,73.073,76.675,57.803,68.612,61.147
Hawaii,65151,216,37,1144164,71.811,54.169,62.619,68.692,64.855,72.455,65.339,56.89,64.754,60.702,58.777,54.704,63.648,71.753,63.464,65.014,64.581,71.368,75.571,42.876,30.596,46.428,57.896,81.103,78.166,81.72,56.042,60.726,77.384,76.989,69.612,64.233,59.281,29.127,51.161,60.298,61.542,69.189,79.496,70.813,76.1,80.78,63.719,74.612,69.227
Idaho,59035,216,32.1,1430132,60.215,40.689,49.609,52.431,52.439,55.695,51.331,40.304,50.421,54.372,46.828,41.699,52.405,57.909,55.544,54.651,52.715,63.552,62.166,33.51,34.369,53.17,42.95,75.78,63.806,72.92,51.026,48.918,67.21,64.691,57.282,54.123,49.771,25.789,37.104,50.792,43.758,57.316,73.596,60.781,70.336,74.486,50.721,54.93,58.006
Illinois,70953,214,38.3,9883773,68.83,51.244,58.194,65.119,63.513,67.612,62.874,49.968,62.563,58.324,56.757,51.272,57.927,66.486,62.809,62.403,57.935,70.289,69.431,37.175,32.198,52.442,48.92,79.607,73.175,77.388,57.352,56.566,73.85,73.295,65.089,61.09,55.619,28.098,44.952,57.856,54.836,63.719,78.158,70.306,77.521,77.828,59.813,69.098,64.661
Indiana,60038,220,30.2,5215683,58.756,41.857,46.63,53.697,51.849,56.577,49.427,41.236,50.247,44.64,45.951,42.369,46.957,53.558,54.56,52.879,49.091,62.316,60.92,30.578,36.313,58.86,40.935,72.353,64.235,71.815,51.664,49.463,64.308,63.446,55.733,51.836,49.486,24.917,37.917,49.977,44.423,56.545,73.759,61.101,71.219,71.265,51.049,58.354,53.734
Iowa,62351,215,31.5,2459358,61.315,41.216,47.922,54.387,48.536,57.569,50.824,38.73,50.329,47.292,46.38,38.516,47.45,54.797,56.862,54.829,55.347,66.049,65.511,33.082,35.879,53.74,41.137,74.509,71.058,72.57,46.957,47.629,67.448,69.033,58.188,54.186,48.222,26.32,37.037,49.881,44.775,58.03,73.492,62.669,69.704,74.701,50.805,59.67,57.508
Kansas,63732,213,35.8,2232747,60.338,41.77,47.872,54.395,48.058,56.74,49.608,37.929,50.39,44.952,44.768,39.547,47.859,54.05,55.793,53.315,50.761,63.003,63.506,31.975,40.364,58.136,41.827,73.254,67.778,72.327,48.473,48.834,67.406,66.697,57.363,53.344,49.062,25.726,38.143,49.481,44.052,56.1,73.211,61.94,68.684,73.164,51.154,57.449,56.801
Kentucky,54326,218,27.8,3487980,54.045,38.998,44.561,47.487,42.415,51.849,45.169,37.668,43.262,36.719,40.774,37.81,40.282,46.483,52.357,51.949,45.91,61.262,58.372,29.48,38.653,61.203,39.639,71.898,62.076,69.919,47.758,49.211,61.182,60.504,54.339,49.034,47.548,25.016,36.539,47.892,41.409,53.779,71.591,58.075,68.542,70.846,48.096,56.523,51.174
Louisiana,57100,216,27,3532365,57.678,43.504,45.644,55.278,48.61,57.124,49.671,40.668,47.915,41.237,44.634,40.479,46.744,55.56,53.206,50.6,45.772,59.723,60.433,29.498,39.573,68.146,44.015,67.042,63.735,68.744,49.082,51.139,63.456,62.911,56.85,49.465,49.46,22.027,41.182,47.709,46.389,54.091,68.456,60.622,65.982,73.125,53.533,58.139,55.841
Maine,63117,210,37,1125516,69.011,50.8,54.111,64.128,61.179,65.944,56.611,49.09,59.526,57.495,54.842,48.812,55.291,66.555,61.034,60.212,59.617,67.986,70.066,39.085,30.127,51.962,48.039,75.628,74.129,77.382,52.185,56.447,72.318,72.449,64.561,58.691,52.759,34.657,41.037,56.16,52.528,61.787,75.915,65.064,75.372,77.488,58.487,67.197,63.881
Maryland,73849,216,43.7,4794803,72.252,53.792,63.334,65.065,65.541,70.153,66.379,51.409,64.95,59.437,60.492,52.5,59.354,68.116,66.582,67.835,64.896,73.782,73.338,40.573,26.363,46.347,53.837,81.702,76.989,81.09,59.594,59.259,77.712,75.969,68.121,64.782,61.012,27.66,48.585,62.39,61.438,70.218,80.41,73.761,78.331,84.475,63.572,74.573,69.762
Massachusetts,87812,225,47.8,5623987,75.226,58.441,63.881,72.897,72.053,75.354,68.585,56.828,69.937,66.763,65.073,57.292,65.399,75.395,67.225,67.986,67.85,73.545,74.665,43.876,26.304,45.213,55.759,81.224,78.547,81.455,59.293,63.086,78.116,78.938,71.248,66.313,59.271,35.741,48.512,63.592,60.988,69.853,80.223,72.726,79.992,81.476,65.907,75.842,72.449
Michigan,59714,209,32.7,7896801,66.356,46.047,52.917,56.353,54.901,58.602,53.486,44.91,55.271,54.543,52.073,46.481,51.009,58.766,59.791,59.385,54.855,67.795,65.241,34.46,32.911,54.2,44.484,76.426,70.831,76.609,53.616,50.585,70.213,69.744,60.456,58.814,52.506,26.179,39.477,54.179,49.418,61.291,76.062,67.484,75.695,79.74,55.418,65.873,60.347
Minnesota,71866,214,40,4396459,68.624,47.926,55.515,63.805,57.986,66.035,60.919,45.242,58.69,55.082,52.9,44.93,55.545,63.685,62.179,60.409,61.939,69.956,70.178,38.141,32.188,49.691,47.314,77.95,75.202,76.79,50.415,52.442,73.229,73.89,63.333,59.87,52.565,30.683,41.111,55.051,50.121,61.174,75.367,67.745,73.658,77.512,56.924,66.728,64.095
Mississippi,48110,219,25.5,2259104,50.618,41.472,47.194,45.556,44.559,52.385,47.784,37.904,44.818,39.362,45.89,40.056,40.645,47.204,54.322,54.782,45.287,61.763,54.266,27.881,40.793,68.676,41.552,72.481,58.643,72.296,51.281,48.462,60.121,59.217,54.483,51.206,51.309,19.573,38.851,50.865,44.499,57.672,71.291,63.251,70.314,74.953,51.108,61.617,54.572
Missouri,61302,212,33.2,4781612,58.904,42.81,48.995,51.808,49.535,54.785,47.529,38.521,50.729,43.257,46.44,41.737,46.725,53.472,56.936,55.601,51.28,64.025,62.632,32.374,36.144,58.731,43.339,73.819,67.257,73.853,50.804,50.436,66.61,65.829,58.359,54.397,51.264,26.237,38.858,51.992,46.031,58.27,73.199,62.934,70.184,74.21,52.766,57.411,57.658
Montana,63918,217,34.6,870130,61.023,41.789,49.192,57.477,50.306,58.65,52.478,40.883,51.887,59.392,42.625,38.731,53.06,61.549,55.155,51.944,53.463,64.78,62.736,35.379,35.715,53.373,41.385,74.067,66.144,70.781,44.432,48.36,66.707,66.061,55.921,51.922,46.208,27.741,36.809,46.742,41.528,54.477,72.827,59.805,68.221,71.957,50.136,54.058,56.787
Nebraska,67800,212,35.3,1481178,58.69,40.725,47.177,52.902,47.08,56.291,49.314,37.082,49.633,44.861,44.987,38.646,47.102,53.273,55.097,52.485,51.317,61.922,62.689,31.319,36.939,57.042,40.999,72.819,65.892,72.048,47.769,47.824,66.317,65.347,56.406,53.013,48.436,25.425,36.795,48.889,42.58,54.412,70.852,61.574,68.447,72.418,50.36,54.441,56.061
Nevada,65168,213,28.7,2448129,66.105,51.218,55.834,62.949,57.496,65.943,55.207,48.603,55.695,54.403,49.693,50.906,57.108,65.21,59.673,60.128,56.073,66.357,67.427,35.848,35.67,53.76,50.344,75.047,70.624,76.09,54.717,57.634,71.634,69.203,63.756,57.452,55.953,30.115,46.925,55.203,53.169,63.472,75.291,63.252,73.355,76.628,57.731,68.058,62.957
New Hampshire,77260,221,40.7,1130929,68.817,50.041,55.151,61.228,63.02,65.175,58.449,48.288,59.802,59.28,59.027,49.57,56.048,65.836,62.215,62.736,61.15,68.996,70.343,39.446,31.834,50.493,48.763,77.754,75.676,79.124,54.981,54.929,73.344,73.328,65.009,61.647,54.29,32.681,40.567,58.252,54.114,65.404,76.244,67.159,76.772,78.022,58.81,68.986,66.202
New Jersey,80724,222,43.8,7235695,72.425,54.072,62.328,65.897,67.64,71.857,68.804,51.976,66.271,59.271,64.044,53.47,60.211,69.413,65.627,66.889,64.29,73.579,74.824,37.894,31.358,48.324,50.767,80.523,77.5,79.838,59.606,60.291,77.21,77.104,68.757,65.289,59.066,27.447,47.552,61.871,58.326,66.768,79.636,74,79.393,83.39,60.269,71.054,70.604
